100,36.7273,17.6662
200,41.5422,19.6691
300,40.7286,17.6843
400,46.3052,23.7100
500,44.2253,23.4515
600,45.9425,20.3916
700,53.7924,28.6118
800,48.3579,24.2522
900,49.4612,20.6390
1000,70.0950,32.7635
1100,74.6535,33.7214
1200,88.3984,31.8402
1300,94.9822,32.5821
1400,89.7171,42.9175
1500,106.7473,39.2529
1600,118.9607,37.5360
1700,111.4790,35.5608
1800,112.8550,38.4853
1900,119.5786,35.4286
2000,111.3526,35.6377
2100,113.1228,43.4556
2200,142.9851,34.0407
2300,138.0130,39.7140
2400,141.1254,35.0233
2500,142.0255,36.1967
2600,134.6922,38.4165
2700,138.5965,35.1319
2800,127.3058,41.7807
2900,153.0116,32.4737
3000,153.7431,31.0669
3100,150.1483,32.2912
3200,152.7784,36.9602
3300,166.5399,33.5974
3400,165.8347,28.0122
3500,161.3243,34.0676
3600,148.8006,32.9556
3700,175.3241,32.7172
3800,153.3393,33.1701
3900,156.3241,34.7083
4000,160.9079,36.3648
4100,160.6397,33.4743
4200,138.8266,42.4414
4300,166.1576,33.1046
4400,175.7184,30.3434
4500,180.1691,31.4199
4600,173.0681,33.8005
4700,176.5476,34.6910
4800,172.6000,28.6335
4900,183.0632,31.2143
5000,183.7928,29.1803
5100,139.9715,43.3295
5200,185.4843,33.1539
5300,176.4646,35.8235
5400,174.3807,28.2189
5500,166.6771,37.6383
5600,138.7565,81.9069
5700,173.8194,42.9961
5800,191.3290,31.7765
5900,163.1611,39.3699
6000,185.9961,30.5482
6100,182.8589,36.8106
6200,147.4395,62.8731
6300,170.8988,37.9049
6400,182.4401,33.8949
6500,188.4065,30.3472
6600,188.7578,28.6888
6700,199.5040,27.4386
6800,179.8050,29.0511
6900,174.5316,36.4641
7000,186.8654,30.4077
7100,198.1382,26.3453
7200,180.4897,34.8417
7300,200.4442,25.1377
7400,192.1036,37.8221
7500,190.8220,24.3727
7600,193.6603,30.1880
7700,189.9691,34.3952
7800,201.7699,24.2778
7900,184.5211,38.0681
8000,205.1352,26.5215
8100,141.7690,43.4590
8200,195.1988,24.9503
8300,196.2942,26.3626
8400,200.4907,26.9259
8500,198.2903,29.4702
8600,187.5704,31.2759
8700,195.2213,30.5589
8800,196.2068,32.9761
8900,193.9797,29.8952
9000,194.8835,30.9434
9100,195.2411,31.5821
9200,202.5801,29.7024
9300,200.4480,24.8264
9400,201.4374,23.3153
9500,191.0305,47.5387
9600,186.8606,46.2310
9700,193.6044,26.9417
9800,196.6646,27.3715
9900,203.2184,26.1527
10000,192.9351,30.2102
10100,199.2440,26.2050
10200,193.8153,27.4035
10300,203.1146,24.4923
10400,200.2419,23.7864
10500,195.4559,25.8608
10600,196.2209,23.7795
10700,200.8366,39.3997
10800,174.2943,54.3302
10900,210.0016,24.2452
11000,190.1630,36.2765
11100,196.4804,29.4646
11200,206.4334,23.1366
11300,186.7513,27.5206
11400,209.5155,22.4045
11500,203.5635,24.7431
11600,202.8165,28.0194
11700,203.9805,28.0483
11800,196.5077,49.7896
11900,207.8733,24.6115
12000,188.2489,32.2697
12100,209.6854,41.2084
12200,208.6751,24.4370
12300,199.6604,36.6855
12400,206.0665,25.0224
12500,199.0844,31.1503
12600,211.1938,24.3462
12700,206.5951,26.3937
12800,198.0088,37.6703
12900,207.5060,29.5910
13000,204.6111,37.7044
13100,203.3308,38.7983
13200,207.0062,33.3057
13300,208.3218,31.5539
13400,209.9139,27.6713
13500,195.4474,42.4199
13600,198.8925,28.0153
13700,207.0261,37.3328
13800,210.6508,33.2282
13900,194.5429,39.6901
14000,208.5463,33.9019
14100,212.9368,20.8163
14200,214.3080,24.9673
14300,208.4758,30.2579
14400,215.2377,22.9886
14500,215.6590,20.6996
14600,213.8499,21.7549
14700,206.3408,30.5779
14800,215.1773,23.3234
14900,214.5568,33.2252
15000,207.8358,27.7815
15100,219.9654,20.7808
15200,215.3308,24.7673
15300,223.4632,19.6582
15400,220.2338,23.2680
